id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
12,,"PERTANIAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN",01117,,,,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil minyak makan, seperti biji wijen, biji bunga matahari dan tanaman biji-bijian penghasil minyak makan lainnya.Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil minyak makan."
13,,"PERTANIAN BIJI-BIJIAN PENGHASIL BUKAN MINYAK MAKAN",01118,,,,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil bukan minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil bukan minyak makan, seperti biji kapas, biji rami, biji mustard, niger seeds, biji jarak pohon dan tanaman biji-bijian penghasil bukan minyak makan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil bukan minyak makan."
14,,"PERTANIAN SEREALIA LAINNYA, ANEKA KACANG DAN BIJI-BIJIAN PENGHASIL MINYAK LAINNYA",01119,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia lainnya bukan padi, jagung dan gandum, tanaman aneka kacang palawija lainnya dan pertanian tanaman lainnya yang belum diklasifikasikan pada kelompok 01111 s.d. 01118. Termasuk kegiatan pembibitan dan pembenihan tanaman serealia dan biji-bijian penghasil minyak lainnya."
15,,"PERTANIAN PADI",0112,,,,"Subgolongan ini mencakup pertanian padi, termasuk pertanian padi organik dan padi yang sudah dimodifikasi. Termasuk kegiatan pembibitan dan pembenihan tanaman padi. Budidaya ikan di sawah (mina padi) digolongkan dalam kegiatan perikanan."
16,,"PERTANIAN PADI HIBRIDA",01121,,,,"Kelompok ini mencakup usaha pertanian padi hibrida mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi hibrida. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot. Contohnya: Bernas Super, Bernas Prima, Sembada B3, SL 11 SHS. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida."
17,,"PERTANIAN PADI INBRIDA",01122,,,,"Kelompok ini mencakup usaha pertanian inbrida (bukan hibrida) mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi in hibrida. Padi in hibrida adalah padi yang produksi benihnya dilakukan melalui penyerbukan sendiri atau terjadi secara alami. Terdiri dari Padi varietas Unggul Non Hibrida seperti Memberamo, Menkongga, Ciherang, IR-6, Inpari, Inpara, Inpago dan Padi Varietas Lokas yang telah ada dan dibudidayakan secara turun temurun oleh petani."
18,,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI",0113,,,,"Subgolongan ini mencakup :- Pertanian hortikultura sayuran seperti asparagus, kol, kembang kol dan brokoli, selada dan chicory, bayam, tumbuhan yang bunganya dimakan sebagai sayur, dan sayuran daun dan batang lainnya- Pertanian hortikultura buah, seperti semangka, blewah, labu buah, melon dan sejenisnya- Pertanian aneka umbi hortikultura, seperti kentang, kentang manis, wortel, lobak cina, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya- Perrtanian tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong, irut, gembili dan tanaman aneka umbi palawija lainnya- Pertanian buah yang dipakai sebagai sayuran, seperti mentimun, terung, tomat, belimbing sayur dan labu sayur dan lainnya- Pertanian jamur dan truffle- Pertanian bibit sayuran, kecuali bibit tanaman bit - Pertanian bit gula- Pertanian sayuran lainnyaSubgolongan ini tidak mencakup :- Pertanian spawn jamur, lihat 0130- Pertanian cabai dan merica (capsicum spp) dan tanaman bumbu lainnnya, lihat 0128"
19,,"PERTANIAN HORTIKULTURA SAYURAN DAUN",01131,,,,"Kelompok ini mencakup usaha pertanian hortikultura dan sayuran daun mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura sayuran yang dipanen sekali, seperti petsai/sawi, asparagus, kubis/kol, kembang kol dan brokoli, selada dan seledri/chicory, daun bawang, bayam, kangkung, tumbuhan yang bunganya dimakan sebagai sayur dan sayuran daun dan batang lainnya. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran daun."
20,,"PERTANIAN HORTIKULTURA BUAH",01132,,,,"Kelompok ini mencakup usaha pertanian hortikultura buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah, seperti semangka, belewah, melon, timun suri dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura buah."
21,,"PERTANIAN HORTIKULTURA SAYURAN BUAH",01133,,,,"Kelompok ini mencakup usaha pertanian hortikultura sayuran buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah yang dipakai sebagai sayuran (labu), seperti mentimun, terung, tomat, belimbing sayur dan labu sayur (siam), waluh/labu kuning, gambas/oyong dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran buah."
22,,"PERTANIAN HORTIKULTURA SAYURAN UMBI",01134,,,,"Kelompok ini mencakup usaha pertanian hortikultura sayuran umbi mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman umbi- umbian hortikultura, seperti kentang, kentang manis, wortel, lobak cina, rebung, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran umbi."
23,,"PERTANIAN ANEKA UMBI PALAWIJA",01135,,,,"Kelompok ini mencakup usaha pertanian aneka umbi palawija mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong dan irut, gembili dan tanaman palawija, iles-iles, porang dan umbi-umbian palawija lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka umbi palawija."
24,,"PERTANIAN JAMUR",01136,,,,"Kelompok ini mencakup usaha pertanian jamur mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jamur dan truffle, seperti jamur merang, jamur tiram, jamur shitake, jamur kuping dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman jamur."
25,,"PERTANIAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU",01137,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman bit gula dan tanaman pemanis lainnya bukan tebu, seperti stevia dan sorgum manis. Termasuk kegiatan pembibitan dan pembenihan tanaman bit gula dan tanaman pemanis bukan tebu."
26,,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA",01139,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman sayuran, buah dan aneka umbi lainnya yang dipanen lebih dari sekali; dan pertanian sayuran lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman sayuran lainnya, kecuali bibit tanaman bit."
27,,"PERKEBUNAN TEBU",0114,,,,"Subgolongan ini mencakup :- Perkebunan tebuSubgolongan ini tidak mencakup : - Pertanian bit gula, lihat 0113"
28,,"PERKEBUNAN TEBU",01140,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tebu. Termasuk kegiatan pembibitan dan pembenihan tebu."
29,,"PERKEBUNAN TEMBAKAU",0115,,,,"Subgolongan ini mencakup :- Perkebunan tembakau (bukan industri), termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya"
30,,"PERKEBUNAN TEMBAKAU",01150,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tembakau. Termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya. Kegiatan pembibitan dan pembenihan tanaman tembakau juga tercakup dalam kelompok ini."
31,,"PERTANIAN TANAMAN BERSERAT",0116,,,,"Subgolongan ini mencakup :- Pertanian kapas- Pertanian yute, kenaf- Pertanian batang lenan dan rami- Pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave- Pertanian abaca, rami dan tanaman bahan baku tekstil lainnya- Pertanian tanaman serat lainnya"
32,,"PERTANIAN TANAMAN BERSERAT",01160,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan jika menjadi satu kesatuan kegiatan tanaman berserat sebagai bahan baku tekstil, seperti kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf, pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave dan pertanian tanaman serat lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman berserat."
33,,"PERTANIAN TANAMAN SEMUSIM LAINNYA",0119,,,,"Subgolongan ini mencakup pertanian tanaman semusim yang lain :- Pertanian sewede, mangold, akar-akaran untuk makanan hewan, semanggi, alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya, makanan ternak dan sejenisnya- Pembibitan bit (tidak termasuk bit gula) dan bibit tanaman untuk makanan ternak- Pertanian bunga, termasuk produksi bunga potong dan kuncup bunga- Pembibitan bungaSub golongan ini tidak mencakup :- Pertanian tanaman semusim, seperti tanaman rempah-rempah, aromatik, narkotika dan tanaman obat-obatan, lihat 0128"
34,,"PERTANIAN TANAMAN PAKAN TERNAK",01191,,,,"Kelompok ini mencakup bidang usaha produksi hijauan pakan ternak mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pasca panen. Meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
35,,"PERBENIHAN TANAMAN PAKAN TERNAK DAN PEMBIBITAN BIT (BUKAN BIT GULA)",01192,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pascapanen, perbenihan tanaman pakan ternak dan pembibitan bit (bukan bit gula). Perbenihan tanaman pakan ternak meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
36,,"PERTANIAN TANAMAN BUNGA",01193,,,,"Kelompok ini mencakup pertanian tanaman bunga, yang produksinya adalah bunga potong dan kuncup bunga. Tanaman bunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuk tanaman bunga lainnya yang diambil bunganya. Pertanian tanaman bunga yang hasilnya adalah tanaman bunga hidup masuk ke golongan 013."
37,,"PERTANIAN PEMBIBITAN TANAMAN BUNGA",01194,,,,"Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga."
38,,"PERTANIAN TANAMAN SEMUSIM LAINNYA YTDL",01199,,,,"Kelompok ini mencakup pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan pembibitannya."
39,,"PERTANIAN TANAMAN TAHUNAN",012,,,,"Golongan ini mencakup penanaman tanaman yang berlangsung lebih dari dua musim tanam, baik tanaman yang setiap musim mati atau tanaman yang tumbuh terus menerus. Termasuk penanaman tanaman untuk keperluan pembibitan dan pembenihan. Golongan ini juga mencakup kegiatan penanaman tanaman ini di area atau lokasi hutan."
40,,"PERTANIAN BUAH ANGGUR",0121,,,,"Subgolongan ini mencakup :- Pertanian buah anggur untuk bahan minuman (wine) dan buah anggur di kebun anggurSubgolongan ini tidak mencakup :- Industri minuman anggur (wine), lihat 1102"
41,,"PERTANIAN BUAH ANGGUR",01210,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah anggur. Termasuk kegiatan pembibitan dan pembenihan tanaman buah anggur."
42,,"PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS",0122,,,,"Subgolongan ini mencakup :- Pertanian buah tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, mangga, pepaya, nanas dan buah tropis dan subtropis lainnya"
43,,"PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS",01220,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah-buahan tropis dan subtropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas, mangga, manggis, sawo, belimbing, salak, sirsak, buah naga dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buat tropis dan subtropis."
44,,"PERTANIAN BUAH JERUK",0123,,,,"Subgolongan ini mencakup :- Pertanian buah jeruk, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, tangerin, mandarin dan clementine, dan buah jeruk lainnya"
45,,"PERTANIAN BUAH JERUK",01230,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan clementine, dan buah jeruk lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah jeruk."
46,,"PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS)",0124,,,,"Subgolongan ini mencakup :- Pertanian buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa dan buah delima, dan buah batu lainnya"
47,,"PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS)",01240,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa, kepel, terong Belanda dan buah delima, dan buah batu lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah apel dan buah batu."
48,,"PERTANIAN SAYURAN DAN BUAH SEMAK DAN BUAH BIJI KACANG- KACANGAN LAINNYA",0125,,,,"Subgolongan ini mencakup :- Pertanian buah beri, seperti blueberry, kismis, gooseberry, kiwi, raspberry, strawberry dan beri lainnya- Pembibitan buah- Pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang- kacangan yang lain- Pertanian pohon dan tanaman buah semak lainnya- Locust beansSubgolongan ini tidak mencakup : - Perkebunan kelapa, lihat 0126"
49,,"PERTANIAN BUAH BERI",01251,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan beri lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah beri."
50,,"PERTANIAN BUAH BIJI KACANG-KACANGAN",01252,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang- kacangan yang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah biji kacang-kacangan."
51,,"PERTANIAN SAYURAN TAHUNAN",01253,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman sayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol, melinjo dan sejenisnya. Kegiatan pembibitan dan pembenihan tanaman sayuran tahunan."
52,,"PERTANIAN BUAH SEMAK LAINNYA",01259,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah semak lainnya, termasuk locust beans. Termasuk kegiatan pembibitan dan pembenihan tanaman buah semak lainnya."
53,,"PERKEBUNAN BUAH-BUAHAN PENGHASIL MINYAK (OLEAGINOUS)",0126,,,,"Subgolongan ini mencakup :- Perkebunan buah oleaginous, seperti kelapa, buah zaitun, kelapa sawit dan buah oleaginous lainSubgolongan ini tidak mencakup :- Pertanian kedelai, kacang tanah, dan biji penghasil minyak lainnya, lihat 0111"
54,,"PERKEBUNAN BUAH KELAPA",01261,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa."
55,,"PERKEBUNAN BUAH KELAPA SAWIT",01262,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa sawit. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa sawit."
56,,"PERKEBUNAN BUAH OLEAGINOUS LAINNYA",01269,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah oleaginous lain, seperti buah zaitun dan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah oleoginous lainnya."
57,,"PERTANIAN TANAMAN UNTUK BAHAN MINUMAN",0127,,,,"Subgolongan ini mencakup :- Pertanian tanaman untuk bahan minuman, seperti kopi, teh, mate, kakao dan tanaman untuk bahan minuman lainnya"
58,,"PERTANIAN TANAMAN UNTUK BAHAN MINUMAN",01270,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao. Termasuk kegiatan pembibitan dan pembenihan tanaman untuk bahan minuman."
59,,"PERKEBUNAN TANAMAN REMPAH-REMPAH, AROMATIK/PENYEGAR, NARKOTIK DAN OBAT",0128,,,,"Subgolongan ini mencakup :- Perkebunan tanaman rempah-rempah dan aromatik semusim dan tahunan, seperti merica atau lada (piper spp), cabe (capsicum spp), pala, bunga pala dan kapulaga, minyak adas manis, badian dan adas, kayu manis (canella), cengkeh, jahe, vanilla dan tanaman rempah dan aromatik lainnya- Perkebunan tanaman obat dan narkotika- Perkebunan tanaman yang digunakan untuk parfum, keperluan kedokteran/farmasi atau untuk insektisida, fungisida dan sejenisnya"
60,,"PERKEBUNAN LADA",01281,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan lada atau merica (piper spp). Termasuk kegiatan pembibitan dan pembenihan tanaman lada."
61,,"PERKEBUNAN CENGKEH",01282,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan cengkeh. Termasuk kegiatan pembibitan dan pembenihan tanaman cengkeh."
62,,"PERTANIAN CABAI",01283,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, pemanenan dan pasca panen sayuran cabai (capsicum spp), seperti cabai besar, cabai rawit dan paprika. Termasuk kegiatan pembibitan dan pembenihan tanaman cabai."
63,,"PERKEBUNAN TANAMAN AROMATIK/PENYEGAR",01284,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman perkebunan minyak atsiri, seperti sereh wangi, nilam, menthol, kenanga, ilang-ilang, gandapura, lawang. Termasuk kegiatan pembibitan dan pembenihan tanaman aromatik/penyegar."
64,,"PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA RIMPANG",01285,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti jahe, kunyit, temulawak, temugiring, temuireng, temukunci, kencur, lengkuas, lempuyang, dlingo dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka rimpang."
65,,"PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA NON RIMPANG",01286,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka non rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti kina, adas, kapulaga, orang-aring, iles-iles, pinang, gambir, lidah buaya, kejibeling, sambiloto, kumis kucing, mengkudu atau pace, mahkota dewa dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka non rimpang."
66,,"PERTANIAN TANAMAN NARKOTIKA DAN TANAMAN OBAT TERLARANG",01287,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman narkotika dan tanaman obat terlarang."
