Height	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
95	-0.3521	14.0600	0.08060	11.7	12.1	12.4	12.9	13.3	14.1	14.9	15.3	16.1	16.4	17.1
95.5	-0.3521	14.1811	0.08071	11.8	12.2	12.5	13.1	13.4	14.2	15.0	15.4	16.2	16.6	17.2
96	-0.3521	14.3037	0.08083	11.9	12.3	12.6	13.2	13.6	14.3	15.1	15.6	16.4	16.7	17.4
96.5	-0.3521	14.4282	0.08097	12.0	12.4	12.7	13.3	13.7	14.4	15.2	15.7	16.5	16.9	17.5
97	-0.3521	14.5547	0.08112	12.1	12.5	12.8	13.4	13.8	14.6	15.4	15.9	16.7	17.0	17.7
97.5	-0.3521	14.6832	0.08129	12.2	12.7	12.9	13.5	13.9	14.7	15.5	16.0	16.8	17.2	17.9
98	-0.3521	14.8140	0.08146	12.3	12.8	13.0	13.6	14.0	14.8	15.7	16.1	17.0	17.3	18.0
98.5	-0.3521	14.9468	0.08165	12.4	12.9	13.1	13.8	14.2	14.9	15.8	16.3	17.2	17.5	18.2
99	-0.3521	15.0818	0.08185	12.5	13.0	13.2	13.9	14.3	15.1	15.9	16.4	17.3	17.7	18.4
99.5	-0.3521	15.2187	0.08206	12.7	13.1	13.3	14.0	14.4	15.2	16.1	16.6	17.5	17.8	18.5
100	-0.3521	15.3576	0.08229	12.8	13.2	13.5	14.1	14.5	15.4	16.2	16.7	17.6	18.0	18.7
100.5	-0.3521	15.4985	0.08252	12.9	13.3	13.6	14.2	14.7	15.5	16.4	16.9	17.8	18.2	18.9
101	-0.3521	15.6412	0.08277	13.0	13.4	13.7	14.4	14.8	15.6	16.5	17.1	18.0	18.4	19.1
101.5	-0.3521	15.7857	0.08302	13.1	13.6	13.8	14.5	14.9	15.8	16.7	17.2	18.2	18.5	19.3
102	-0.3521	15.9320	0.08328	13.2	13.7	13.9	14.6	15.1	15.9	16.9	17.4	18.3	18.7	19.5
102.5	-0.3521	16.0801	0.08354	13.3	13.8	14.1	14.8	15.2	16.1	17.0	17.6	18.5	18.9	19.7
103	-0.3521	16.2298	0.08381	13.4	13.9	14.2	14.9	15.3	16.2	17.2	17.7	18.7	19.1	19.9
103.5	-0.3521	16.3812	0.08408	13.6	14.0	14.3	15.0	15.5	16.4	17.3	17.9	18.9	19.3	20.1
104	-0.3521	16.5342	0.08436	13.7	14.2	14.4	15.2	15.6	16.5	17.5	18.1	19.1	19.5	20.3
104.5	-0.3521	16.6889	0.08464	13.8	14.3	14.6	15.3	15.8	16.7	17.7	18.2	19.2	19.7	20.5
105	-0.3521	16.8454	0.08493	13.9	14.4	14.7	15.4	15.9	16.8	17.8	18.4	19.4	19.9	20.7
105.5	-0.3521	17.0036	0.08521	14.0	14.5	14.8	15.6	16.1	17.0	18.0	18.6	19.6	20.1	20.9
106	-0.3521	17.1637	0.08551	14.2	14.7	15.0	15.7	16.2	17.2	18.2	18.8	19.8	20.3	21.1
106.5	-0.3521	17.3256	0.08580	14.3	14.8	15.1	15.9	16.4	17.3	18.4	19.0	20.0	20.5	21.3
107	-0.3521	17.4894	0.08611	14.4	14.9	15.2	16.0	16.5	17.5	18.5	19.1	20.2	20.7	21.5
107.5	-0.3521	17.6550	0.08641	14.5	15.1	15.4	16.2	16.7	17.7	18.7	19.3	20.4	20.9	21.7
108	-0.3521	17.8226	0.08673	14.7	15.2	15.5	16.3	16.8	17.8	18.9	19.5	20.6	21.1	22.0
108.5	-0.3521	17.9924	0.08704	14.8	15.3	15.6	16.5	17.0	18.0	19.1	19.7	20.8	21.3	22.2
109	-0.3521	18.1645	0.08736	14.9	15.5	15.8	16.6	17.1	18.2	19.3	19.9	21.1	21.5	22.4
109.5	-0.3521	18.3390	0.08768	15.1	15.6	15.9	16.8	17.3	18.3	19.5	20.1	21.3	21.7	22.7
110	-0.3521	18.5158	0.08800	15.2	15.8	16.1	16.9	17.5	18.5	19.7	20.3	21.5	22.0	22.9
110.5	-0.3521	18.6948	0.08832	15.3	15.9	16.2	17.1	17.6	18.7	19.9	20.5	21.7	22.2	23.1
111	-0.3521	18.8759	0.08864	15.5	16.1	16.4	17.2	17.8	18.9	20.1	20.7	21.9	22.4	23.4
111.5	-0.3521	19.0590	0.08896	15.6	16.2	16.5	17.4	18.0	19.1	20.3	20.9	22.1	22.6	23.6
112	-0.3521	19.2439	0.08928	15.7	16.3	16.7	17.6	18.1	19.2	20.5	21.1	22.4	22.9	23.9
112.5	-0.3521	19.4304	0.08960	15.9	16.5	16.8	17.7	18.3	19.4	20.7	21.4	22.6	23.1	24.1
113	-0.3521	19.6185	0.08991	16.0	16.6	17.0	17.9	18.5	19.6	20.9	21.6	22.8	23.4	24.4
113.5	-0.3521	19.8081	0.09022	16.2	16.8	17.1	18.1	18.7	19.8	21.1	21.8	23.1	23.6	24.6
114	-0.3521	19.9990	0.09054	16.3	17.0	17.3	18.2	18.8	20.0	21.3	22.0	23.3	23.8	24.9
114.5	-0.3521	20.1912	0.09085	16.5	17.1	17.5	18.4	19.0	20.2	21.5	22.2	23.5	24.1	25.2
115	-0.3521	20.3846	0.09116	16.6	17.3	17.6	18.6	19.2	20.4	21.7	22.4	23.8	24.3	25.4
115.5	-0.3521	20.5789	0.09147	16.8	17.4	17.8	18.7	19.4	20.6	21.9	22.7	24.0	24.6	25.7
116	-0.3521	20.7741	0.09177	16.9	17.6	17.9	18.9	19.5	20.8	22.1	22.9	24.3	24.8	25.9
116.5	-0.3521	20.9700	0.09208	17.1	17.7	18.1	19.1	19.7	21.0	22.3	23.1	24.5	25.1	26.2
117	-0.3521	21.1666	0.09239	17.2	17.9	18.3	19.3	19.9	21.2	22.5	23.3	24.7	25.3	26.5
117.5	-0.3521	21.3636	0.09270	17.4	18.0	18.4	19.4	20.1	21.4	22.8	23.6	25.0	25.6	26.7
118	-0.3521	21.5611	0.09300	17.5	18.2	18.6	19.6	20.3	21.6	23.0	23.8	25.2	25.8	27.0
118.5	-0.3521	21.7588	0.09331	17.7	18.4	18.7	19.8	20.4	21.8	23.2	24.0	25.5	26.1	27.3
119	-0.3521	21.9568	0.09362	17.8	18.5	18.9	20.0	20.6	22.0	23.4	24.2	25.7	26.3	27.5
119.5	-0.3521	22.1549	0.09393	17.9	18.7	19.1	20.1	20.8	22.2	23.6	24.5	26.0	26.6	27.8
120	-0.3521	22.3530	0.09424	18.1	18.8	19.2	20.3	21.0	22.4	23.8	24.7	26.2	26.8	28.1
