Height	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
101	-0.3833	15.5154	0.09116	12.7	13.1	13.4	14.1	14.6	15.5	16.5	17.1	18.1	18.5	19.4
101.5	-0.3833	15.6646	0.09131	12.8	13.3	13.5	14.3	14.7	15.7	16.7	17.2	18.3	18.7	19.5
102	-0.3833	15.8164	0.09146	12.9	13.4	13.7	14.4	14.9	15.8	16.8	17.4	18.5	18.9	19.7
102.5	-0.3833	15.9707	0.09161	13.0	13.5	13.8	14.5	15.0	16.0	17.0	17.6	18.7	19.1	19.9
103	-0.3833	16.1276	0.09177	13.1	13.6	13.9	14.7	15.2	16.1	17.2	17.8	18.8	19.3	20.2
103.5	-0.3833	16.2870	0.09193	13.3	13.8	14.1	14.8	15.3	16.3	17.3	17.9	19.0	19.5	20.4
104	-0.3833	16.4488	0.09209	13.4	13.9	14.2	15.0	15.5	16.4	17.5	18.1	19.2	19.7	20.6
104.5	-0.3833	16.6131	0.09226	13.5	14.0	14.3	15.1	15.6	16.6	17.7	18.3	19.4	19.9	20.8
105	-0.3833	16.7800	0.09243	13.6	14.2	14.5	15.3	15.8	16.8	17.9	18.5	19.6	20.1	21.0
105.5	-0.3833	16.9496	0.09261	13.8	14.3	14.6	15.4	15.9	16.9	18.1	18.7	19.8	20.3	21.2
106	-0.3833	17.1220	0.09278	13.9	14.5	14.8	15.6	16.1	17.1	18.2	18.9	20.0	20.5	21.4
106.5	-0.3833	17.2973	0.09296	14.1	14.6	14.9	15.7	16.3	17.3	18.4	19.1	20.2	20.7	21.7
107	-0.3833	17.4755	0.09315	14.2	14.7	15.1	15.9	16.4	17.5	18.6	19.3	20.5	21.0	21.9
107.5	-0.3833	17.6567	0.09333	14.3	14.9	15.2	16.1	16.6	17.7	18.8	19.5	20.7	21.2	22.1
108	-0.3833	17.8407	0.09352	14.5	15.0	15.4	16.2	16.8	17.8	19.0	19.7	20.9	21.4	22.4
108.5	-0.3833	18.0277	0.09371	14.6	15.2	15.5	16.4	16.9	18.0	19.2	19.9	21.1	21.6	22.6
109	-0.3833	18.2174	0.09390	14.8	15.4	15.7	16.6	17.1	18.2	19.4	20.1	21.4	21.9	22.9
109.5	-0.3833	18.4096	0.09409	14.9	15.5	15.8	16.7	17.3	18.4	19.6	20.3	21.6	22.1	23.1
110	-0.3833	18.6043	0.09428	15.1	15.7	16.0	16.9	17.5	18.6	19.8	20.6	21.8	22.4	23.4
110.5	-0.3833	18.8015	0.09448	15.2	15.8	16.2	17.1	17.7	18.8	20.1	20.8	22.1	22.6	23.7
111	-0.3833	19.0009	0.09467	15.4	16.0	16.3	17.3	17.8	19.0	20.3	21.0	22.3	22.8	23.9
111.5	-0.3833	19.2024	0.09487	15.5	16.2	16.5	17.4	18.0	19.2	20.5	21.2	22.6	23.1	24.2
112	-0.3833	19.4060	0.09507	15.7	16.3	16.7	17.6	18.2	19.4	20.7	21.5	22.8	23.4	24.5
112.5	-0.3833	19.6116	0.09527	15.9	16.5	16.8	17.8	18.4	19.6	20.9	21.7	23.1	23.6	24.7
113	-0.3833	19.8190	0.09546	16.0	16.7	17.0	18.0	18.6	19.8	21.2	21.9	23.3	23.9	25.0
113.5	-0.3833	20.0280	0.09566	16.2	16.8	17.2	18.2	18.8	20.0	21.4	22.2	23.6	24.1	25.3
114	-0.3833	20.2385	0.09586	16.3	17.0	17.4	18.4	19.0	20.2	21.6	22.4	23.8	24.4	25.6
114.5	-0.3833	20.4502	0.09606	16.5	17.2	17.5	18.5	19.2	20.5	21.8	22.6	24.1	24.7	25.8
115	-0.3833	20.6629	0.09626	16.7	17.3	17.7	18.7	19.4	20.7	22.1	22.9	24.3	24.9	26.1
115.5	-0.3833	20.8766	0.09646	16.8	17.5	17.9	18.9	19.6	20.9	22.3	23.1	24.6	25.2	26.4
116	-0.3833	21.0909	0.09666	17.0	17.7	18.1	19.1	19.8	21.1	22.5	23.4	24.9	25.5	26.7
116.5	-0.3833	21.3059	0.09686	17.2	17.9	18.3	19.3	20.0	21.3	22.8	23.6	25.1	25.7	27.0
117	-0.3833	21.5213	0.09707	17.3	18.0	18.4	19.5	20.2	21.5	23.0	23.8	25.4	26.0	27.3
117.5	-0.3833	21.7370	0.09727	17.5	18.2	18.6	19.7	20.4	21.7	23.2	24.1	25.6	26.3	27.5
118	-0.3833	21.9529	0.09747	17.7	18.4	18.8	19.9	20.6	22.0	23.5	24.3	25.9	26.5	27.8
118.5	-0.3833	22.1690	0.09767	17.8	18.6	19.0	20.1	20.8	22.2	23.7	24.6	26.2	26.8	28.1
119	-0.3833	22.3851	0.09788	18.0	18.7	19.1	20.3	21.0	22.4	23.9	24.8	26.4	27.1	28.4
119.5	-0.3833	22.6012	0.09808	18.2	18.9	19.3	20.5	21.2	22.6	24.2	25.1	26.7	27.4	28.7
120	-0.3833	22.8173	0.09828	18.3	19.1	19.5	20.6	21.4	22.8	24.4	25.3	27.0	27.6	29.0
